model,accuracy,precision,recall,f1,params,model_size_mb_est,train_time_s,infer_time_s,checkpoint_size_mb
MLP,0.83,0.8852459016393442,0.84375,0.864,20802,0.07935333251953125,7.253388207999706,0.15733101400019223,0.26691246032714844
RNN_LSTM,0.74,0.8064516129032258,0.78125,0.7936507936507936,30434,0.11609649658203125,9.9664709209992,0.3835427969997909,0.38663482666015625
CNN1D,0.64,0.64,1.0,0.7804878048780488,14786,0.05640411376953125,2.775424842000575,0.11830123300023843,0.20562267303466797
